0807
INFO:root:Epoch[12] Batch [2040]	Speed: 676.04 samples/sec	acc=0.476823
INFO:root:Epoch[12] Batch [2060]	Speed: 681.32 samples/sec	acc=0.475911
INFO:root:Epoch[12] Batch [2080]	Speed: 675.12 samples/sec	acc=0.480599
INFO:root:Epoch[12] Batch [2100]	Speed: 678.41 samples/sec	acc=0.482552
INFO:root:Epoch[12] Batch [2120]	Speed: 673.30 samples/sec	acc=0.487500
INFO:root:Epoch[12] Batch [2140]	Speed: 687.34 samples/sec	acc=0.483724
INFO:root:Epoch[12] Batch [2160]	Speed: 677.58 samples/sec	acc=0.466406
INFO:root:Epoch[12] Batch [2180]	Speed: 673.43 samples/sec	acc=0.471354
INFO:root:Epoch[12] Batch [2200]	Speed: 675.04 samples/sec	acc=0.483594
INFO:root:Epoch[12] Batch [2220]	Speed: 678.87 samples/sec	acc=0.472005
INFO:root:Epoch[12] Batch [2240]	Speed: 673.67 samples/sec	acc=0.474609
INFO:root:Epoch[12] Batch [2260]	Speed: 673.58 samples/sec	acc=0.475391
INFO:root:Epoch[12] Batch [2280]	Speed: 676.96 samples/sec	acc=0.477865
INFO:root:Epoch[12] Batch [2300]	Speed: 667.87 samples/sec	acc=0.477344
INFO:root:Epoch[12] Batch [2320]	Speed: 684.55 samples/sec	acc=0.481510
INFO:root:Epoch[12] Batch [2340]	Speed: 665.79 samples/sec	acc=0.469401
INFO:root:Epoch[12] Batch [2360]	Speed: 677.34 samples/sec	acc=0.481641
INFO:root:Epoch[12] Batch [2380]	Speed: 681.92 samples/sec	acc=0.478255
INFO:root:Epoch[12] Batch [2400]	Speed: 672.80 samples/sec	acc=0.472656
INFO:root:Epoch[12] Batch [2420]	Speed: 685.98 samples/sec	acc=0.465885
INFO:root:Epoch[12] Batch [2440]	Speed: 687.05 samples/sec	acc=0.482161
INFO:root:Epoch[12] Batch [2460]	Speed: 682.77 samples/sec	acc=0.474349
INFO:root:Epoch[12] Batch [2480]	Speed: 668.38 samples/sec	acc=0.475391
